organizationNr,name,registrationDate,nrEmployees,ownedBy_organizationNr,ownershipPercentage,organizationForm,address,postalCode,town,municipalityNr,municipality,countryCode,country
974794284,MELØY KOMMUNE SENTRALADMINISTRASJON,1997-02-20,51,970189866,0.66,ORGL,Gammelveien 5,8150,ØRNES,1837,MELØY,NO,Norge
976634934,KOMMUNEREVISJON IKS,1996-08-28,7,null,null,IKS,Skifervegen 8,2900,FAGERNES,0542,NORD-AURDAL,NO,Norge
979952171,FREDRIKSTAD VANN AVLØP OG RENOVASJONSFORETAK FREVAR KF,1998-09-29,85,940039541,0.55,KF,Habornveien 61,1630,GAMLE FREDRIKSTAD,0106,FREDRIKSTAD,NO,Norge
977188407,HARSTAD TANNHELSEDISTRIKT,1997-01-30,50,974795140,0.9,ORGL,Storgata 5,9405,HARSTAD,1903,HARSTAD,NO,Norge
983609155,ENOVA SF,2001-08-30,88,null,null,SF,Professor Brochs gate 2,7030,TRONDHEIM,5001,TRONDHEIM,NO,Norge
989541471,GLÅMDAL SEKRETARIAT IKS,2006-03-21,2,null,null,IKS,Fjellgata 4,2212,KONGSVINGER,0402,KONGSVINGER,NO,Norge
974640139,ROLLAG KOMMUNE TEKNISK ENHET,1996-08-28,21,964963282,0.94,ORGL,,3626,ROLLAG,0632,ROLLAG,NO,Norge
974640120,ROLLAG KOMMUNE KULTURADMINISTRASJON,1996-08-28,4,964963282,0.79,ORGL,,3626,ROLLAG,0632,ROLLAG,NO,Norge
974783215,ROGALAND FYLKESKOMMUNE FYLKESRÅDMANNEN,1996-05-28,195,971045698,0.94,ORGL,Peder Klows gate 27,4010,STAVANGER,1103,STAVANGER,NO,Norge
918177124,KONGSVINGER OG EIDSKOG KEMNERKONTOR,2016-12-12,9,944117784,0.92,ORGL,Fjellgata 9,2212,KONGSVINGER,0402,KONGSVINGER,NO,Norge
974644061,GRIMSTAD KOMMUNE SENTRALADMINISTRASJON,1997-02-20,103,864964702,0.79,ORGL,Arendalsveien 23,4878,GRIMSTAD,0904,GRIMSTAD,NO,Norge
997220870,RAKKESTAD KOMMUNE BO- OG AKTIVITETSTJENESTER,2011-08-13,187,945372281,0.9,ORGL,Skogveien 9,1890,RAKKESTAD,0128,RAKKESTAD,NO,Norge
977188385,TROMSØ TANNHELSEDISTRIKT,1997-01-30,70,974795140,0.76,ORGL,Strandvegen 13,9007,TROMSØ,1902,TROMSØ,NO,Norge
964979901,UTSIRA KOMMUNE,1995-06-07,120,null,null,KOMM,,5547,UTSIRA,1151,UTSIRA,NO,Norge
974775352,GAULAR KOMMUNE HELSE OG SOSIAL,1996-10-26,189,963923988,0.88,ORGL,,6973,SANDE I SUNNFJORD,1430,GAULAR,NO,Norge
976662563,RISØR KOMMUNALE KINO,1996-09-01,6,964977402,0.43,ORGL,Furumoveien 1,4950,RISØR,0901,RISØR,NO,Norge
974635046,SANDE KOMMUNE SKOLEADMINISTRASJON,1996-10-26,390,938971471,0.67,ORGL,Prestegårdsalleen 35,3070,SANDE I VESTFOLD,0713,SANDE,NO,Norge
976634128,"PEDAGOGISK-PSYKOLOGISK TJENESTE HOBØL, SKIPTVET OG SPYDEBERG",1996-08-28,9,864947352,0.49,ORGL,Nordmyrveien 3,1820,SPYDEBERG,0123,SPYDEBERG,NO,Norge
983998313,SØR-VEST POLITIDISTRIKT,2001-12-05,1352,915429785,0.74,ORGL,Lagårdsveien 6,4010,STAVANGER,1103,STAVANGER,NO,Norge
993822108,RINGERIKSBADET IKS,2009-11-02,33,null,null,IKS,Helgelandsmoen Næringspark,3530,RØYSE,0612,HOLE,NO,Norge
